Learning Curves:
Net:, Epoch:, Train Loss:, Train Error:,  Validation Loss:, Validation Error:
1,0,0.11835044445957113,9.396,0.1116690042680782,8.48
1,1,0.09192888827170362,7.276000000000001,0.08742646464556927,6.64
1,2,0.07860223007325941,6.069999999999999,0.07549972311269183,5.71
1,3,0.06972920350644315,5.319999999999999,0.06770579012802871,5.17
1,4,0.06351623464494753,4.868,0.06233593020948996,4.82
1,5,0.05862137865410963,4.49,0.05819632692571025,4.569999999999999
2,0,23.271173227347294,7.544,23.2588236155261,6.83
2,1,23.188045955958245,4.922,23.188193854762847,4.74
2,2,23.149766970018707,3.7760000000000002,23.161339737663972,3.8699999999999997
2,3,23.128936022705325,3.186,23.148830795292156,3.4799999999999995
2,4,23.115756977178254,2.784,23.143045324034773,3.32
2,5,23.102449731058016,2.4,23.137086764504716,3.2199999999999998
2,6,23.090282333617886,1.9959999999999998,23.131617358504585,3.06
2,7,23.080666492659425,1.66,23.128191260545904,2.93
2,8,23.073740287646125,1.4460000000000002,23.126646537995565,2.88
2,9,23.06869181711051,1.298,23.126623293619094,2.85
2,10,23.063183391892895,1.0999999999999999,23.125583614870028,2.82
2,11,23.05955489845673,0.9860000000000001,23.12579609795908,2.79
2,12,23.05571737747564,0.876,23.126277459044314,2.7199999999999998
2,13,23.052288791745898,0.79,23.126666862003226,2.7199999999999998
2,14,23.048658322259485,0.666,23.127435675620344,2.64
2,15,23.045709071480502,0.532,23.127660547143208,2.6
2,16,23.043803189008663,0.494,23.12913230772694,2.59
2,17,23.04169192610709,0.432,23.129951293170603,2.58
2,18,23.040357791398954,0.372,23.131654350393347,2.53
2,19,23.03880289876075,0.32,23.132846305078846,2.4699999999999998
2,20,23.03739014133005,0.298,23.134342364053637,2.54
3,0,23.272487945545762,7.518,23.25716320724995,6.819999999999999
3,1,23.18890136970124,4.926,23.187882488462638,4.79
3,2,23.148632867643194,3.7359999999999998,23.15922553462288,3.91
3,3,23.123254705235233,3.0140000000000002,23.143981046614705,3.45
3,4,23.10587316866562,2.4379999999999997,23.134177219895076,3.18
3,5,23.09439555210979,2.086,23.128976251640367,3.01
3,6,23.086087220122284,1.836,23.126637086078116,2.92
3,7,23.07843358737588,1.63,23.123909287361226,2.81
3,8,23.072648896618453,1.44,23.122839091332636,2.74
3,9,23.067944512313645,1.3339999999999999,23.122624662264837,2.74
3,10,23.06284480615797,1.154,23.123071973707933,2.78
3,11,23.05859373550452,0.9979999999999999,23.1231769758976,2.76
3,12,23.05489227985908,0.88,23.12518216539111,2.74
3,13,23.051873226573683,0.8019999999999999,23.127146222895842,2.71
3,14,23.04849512514726,0.658,23.127900210088754,2.62
3,15,23.04585574770805,0.582,23.129222103855597,2.6100000000000003
3,16,23.04410651899652,0.516,23.13095886261288,2.6
3,17,23.042660094078173,0.44999999999999996,23.13266386318961,2.56
3,18,23.040834579566397,0.382,23.13358351335157,2.56
3,19,23.039348647705,0.34199999999999997,23.135095080453436,2.5
